브랜드명,중분류명,소분류명,상품명,정가,할인가
이솔,기초 화장품,기초 화장용 오일/앰플,이솔 페이셜 리커버리 부스터 50ml,"11,900",
이솔,선 제품,선크림,이솔 올 데이 쉴드 선 스틱 17g,"14,900",
이솔,기초 화장품,기초 화장용 에센스,이솔 수 오 세럼 30ml,"12,900",
이솔,기초 화장품,기초 화장용 스킨,이솔 베타 하이드록시 애씨드 05 토너 200ml,"10,500",
이솔,기초 화장품,기초 화장용 스킨,두나 카밍업 토너 150ml,"9,900",
이솔,기초 화장품,기초 화장용 오일/앰플,이솔 턴업 리쥬브네이션 레티놀 마유 오일 20ml, , 
이솔,스킨 케어,스킨케어 마스크팩,(5+1) 이솔 더 마스크,"7,500",
이솔,기초 화장품,기초 화장용 오일/앰플,이솔 에이지 슈프림 앰플 30ml,"14,900",
이솔,헤어 케어,헤어케어,이솔 퍼펙트 시카 트리트먼트 30ml,"16,900",
이솔,기초 화장품,기초 화장용 크림,이솔 파워 리피드 트리플 빌드 50ml,"23,900",
이솔,기능성 화장품,기능성 트러블케어 화장품,이솔 호랑이 파우더 11ml,"8,900",
이솔,기초 화장품,기초 화장용 오일/앰플,이솔 봄날 빛고운 앰플 50ml,"8,900",
이솔,기초 화장품,기초 화장용 오일/앰플,이솔 마치현 파워 앰플 50ml,"9,900",
이솔,기능성 화장품,기능성 영양보습 화장품,이솔 하이드로 맥스 젤크림 50g,"6,900",
이솔,스킨 케어,스킨케어 마스크팩,이솔 아쿠아 푸딩 모델링 마스크 500g,"19,800",
이솔,기초 화장품,기초 화장용 에센스,이솔 안티 이리테이션 세럼 200ml,"12,000",
이솔,기능성 화장품,기능성 영양보습 화장품,이솔 센시티브 라이트 젤 크림 50g,"11,900",
이솔,기초 화장품,기초 화장용 크림,이솔 엑티베이터 베리어 크림 100g,"18,900",
이솔,헤어 케어,헤어케어,이솔 갈락토미세스 트리트먼트 라이트 150ml,"13,800",
이솔,기초 화장품,기초 화장용 스킨,이솔 시카 유스 토너 300ml,"11,900",
